Sample_ID,C_N,d13C_post,d13C_kilj,d13C,d15N,location,organism,month,tissue,,,
CC5-M23-YP-1-L,4.673068769,-36.37366192,-36.1315442,-37.68,5.32,creek,yellow perch,may,liver,,Post lipid correction,dCnormalized = dCraw - 3.32 + 0.99 X C:N
CC5-M23-YP-1-M,3.78630195,-33.30156107,-32.75302705,-33.73,5.68,creek,yellow perch,may,muscle,,Kiljunen lipid correction,dCnormalized=dCraw + 7.018 * (0.048 + ((3.9)/(1 + 287/(-20.54 + 7.54 * C:N))))
CR1-M23-CA-1,6.634624342,-26.8117219,-27.33029776,-30.06,1.08,creek,caddisfly,may,N/A,,,
CR1-M23-CA-2,5.938884726,-27.45050412,-27.68686353,-30.01,2.34,creek,caddisfly,may,N/A,,,
CR1-M23-CA-3,6.308253704,-27.08482883,-27.31771695,-30.01,1.51,creek,caddisfly,may,N/A,,,
CR1-M23-MF-1,6.400001332,-31.78399868,-32.05273197,-34.8,2.04,creek,mayfly,may,N/A,,,
CR1-M23-MF-2,6.077485564,-31.74328929,-31.88709482,-34.44,2.25,creek,mayfly,may,N/A,,,
CR1-M23-MF-P,5.799386598,-30.58860727,-30.6271369,-33.01,2.59,creek,mayfly,may,N/A,,,
CR1-M23-PB-1,6.201289169,-23.08072372,-23.27212817,-25.9,5.65,creek,pill bug,may,N/A,,,
CR2-M23-CC-11-L,6.521147422,-26.99406405,-27.31049754,-30.13,5.87,creek,creek chub,may,liver,,,
CR2-M23-CC-11-M,4.018331028,-28.46185228,-27.8831295,-29.12,5.87,creek,creek chub,may,muscle,,,
CR5-M23-BNM-1-L,4.928719287,-30.31056791,-30.03468884,-31.87,3.99,creek,bluntnose minnow,may,liver,,,
CR5-M23-BNM-1-M,4.100742757,-31.72026467,-31.16781917,-32.46,4.62,creek,bluntnose minnow,may,muscle,,,
CR5-M23-BNM-2-M,3.90360307,-33.26543296,-32.65051557,-33.81,4,creek,bluntnose minnow,may,muscle,,,
CR5-M23-CA-1,5.988497031,-29.19138794,-29.30125739,-31.8,1.58,creek,caddisfly,may,N/A,,,
CR5-M23-CA-100,5.307618657,-29.81545753,-29.67352081,-31.75,3.07,creek,caddisfly,may,N/A,,,
CR5-M23-CA-2,6.156182762,-28.57537907,-28.7493896,-31.35,1.61,creek,caddisfly,may,N/A,,,
CR5-M23-CADD-1,5.806660076,-32.01140652,-32.0526603,-34.44,4.11,creek,caddisfly,may,N/A,,,
CR5-M23-CC-1-L,4.770740458,-27.75696695,-27.42658768,-29.16,5.35,creek,creek chub,may,liver,,,
CR5-M23-CC-1-M,3.832775563,-26.92555219,-26.2885163,-27.4,6.54,creek,creek chub,may,muscle,,,
CR5-M23-CC-10-L,5.830905004,-25.88740405,-25.93774972,-28.34,7.64,creek,creek chub,may,liver,,,
CR5-M23-CC-10-M,3.786408158,-26.35145592,-25.70003422,-26.78,7.16,creek,creek chub,may,muscle,,,
CR5-M23-CC-2-L,6.02833971,-27.54194369,-27.66697847,-30.19,6.19,creek,creek chub,may,liver,,,
CR5-M23-CC-2-M,4.07531142,-27.35544169,-26.79486264,-28.07,7.41,creek,creek chub,may,muscle,,,
CR5-M23-CC-3-L,6.05124335,-26.41926908,-26.55304284,-29.09,6.79,creek,creek chub,may,liver,,,
CR5-M23-CC-3-M,3.82447081,-27.4137739,-26.77415591,-27.88,6.97,creek,creek chub,may,muscle,,,
CR5-M23-CC-4-L,5.131196403,-27.12011556,-26.91525111,-28.88,5.21,creek,creek chub,may,liver,,,
CR5-M23-CC-4-M,3.838207371,-27.2501747,-26.61482895,-27.73,6.18,creek,creek chub,may,muscle,,,
CR5-M23-CC-5-L,5.174978492,-27.63677129,-27.44743262,-29.44,5.96,creek,creek chub,may,liver,,,
CR5-M23-CC-5-M,3.776091698,-26.79166922,-26.13705693,-27.21,6.97,creek,creek chub,may,muscle,,,
CR5-M23-CC-6-L,5.459191745,-27.48540017,-27.39829951,-29.57,5.63,creek,creek chub,may,liver,,,
CR5-M23-CC-6-M,3.977972969,-26.82180676,-26.23030025,-27.44,6.3,creek,creek chub,may,muscle,,,
CR5-M23-CC-7-L,5.980415388,-27.76938877,-27.87618781,-30.37,5.83,creek,creek chub,may,liver,,,
CR5-M23-CC-7-M,3.979666913,-27.71012976,-27.11915869,-28.33,7.27,creek,creek chub,may,muscle,,,
CR5-M23-CC-8-L,6.026475731,-28.40378903,-28.52811328,-31.05,7.22,creek,creek chub,may,liver,,,
CR5-M23-CC-8-M,3.903500775,-27.35553423,-26.74058477,-27.9,7.79,creek,creek chub,may,muscle,,,
CR5-M23-CC-9-L,5.732252114,-26.90507041,-26.91853095,-29.26,6.46,creek,creek chub,may,liver,,,
CR5-M23-CC-9-M,4.022773968,-27.37745377,-26.80014173,-28.04,8.04,creek,creek chub,may,muscle,,,
CR5-M23-CS-1,9.860234707,-24.70836764,-26.49195359,-31.15,6.24,creek,common shiner,may,N/A,,,
CR5-M23-CS-1-M,3.835669073,-29.09268762,-28.45655193,-29.57,7.48,creek,common shiner,may,muscle,,,
CR5-M23-CS-10-L,7.987541101,-25.90233431,-26.82818422,-30.49,5.64,creek,common shiner,may,liver,,,
CR5-M23-CS-10-M,3.857367926,-27.66120575,-27.03183008,-28.16,5.81,creek,common shiner,may,muscle,,,
CR5-M23-CS-12-L,6.902396094,-30.97662787,-31.44587825,-34.49,4.97,creek,common shiner,may,liver,,,
CR5-M23-CS-12-M,4.081633503,-33.30918283,-32.75062368,-34.03,5.52,creek,common shiner,may,muscle,,,
CR5-M23-CS-2-L,6.76261575,-27.32501041,-27.73775995,-30.7,6.52,creek,common shiner,may,liver,,,
CR5-M23-CS-2-M,3.900628319,-28.20837796,-27.59252811,-28.75,6.61,creek,common shiner,may,muscle,,,
CR5-M23-CS-3-M,3.898847873,-29.44014061,-28.82373281,-29.98,6.7,creek,common shiner,may,muscle,,,
CR5-M23-CS-4-L,8.129217925,-25.45207425,-26.43981401,-30.18,5.82,creek,common shiner,may,liver,,,
CR5-M23-CS-4-M,3.842988652,-28.47544123,-27.84158405,-28.96,6.27,creek,common shiner,may,muscle,,,
CR5-M23-CS-5-L,4.899611758,-29.00938436,-28.72340353,-30.54,5.11,creek,common shiner,may,liver,,,
CR5-M23-CS-5-M,3.881595156,-29.2472208,-28.62541206,-29.77,6.2,creek,common shiner,may,muscle,,,
CR5-M23-CS-6-L,6.072350346,-28.48837316,-28.63021403,-31.18,6.18,creek,common shiner,may,liver,,,
CR5-M23-CS-6-M,3.775886908,-29.87187196,-29.21719637,-30.29,5.1,creek,common shiner,may,muscle,,,
CR5-M23-CS-7-L,9.867685391,-24.77099146,-26.55815484,-31.22,6.13,creek,common shiner,may,liver,,,
CR5-M23-CS-7-M,3.910864965,-28.39824368,-27.78560388,-28.95,6.06,creek,common shiner,may,muscle,,,
CR5-M23-CS-8-L,9.220604446,-25.5016016,-26.98280653,-31.31,5.08,creek,common shiner,may,liver,,,
CR5-M23-CS-8-M,3.782612733,-28.63521339,-27.98261745,-29.06,5.4,creek,common shiner,may,muscle,,,
CR5-M23-CS-9-L,7.801348764,-28.14666472,-28.99196147,-32.55,5.18,creek,common shiner,may,liver,,,
CR5-M23-CS-9-M,4.017635765,-34.42254059,-33.84359711,-35.08,4.82,creek,common shiner,may,muscle,,,
